channel,x,y,z
FZ,0.0003122,0.058512,0.06646200000000001
FC3,-0.060181899999999997,0.0227162,0.055543999999999996
FC1,-0.0340619,0.0260111,0.07998699999999999
FCZ,0.0003761,0.02739,0.08866800000000001
FC2,0.034784100000000005,0.0264379,0.078808
FC4,0.062293100000000004,0.0237228,0.055630000000000006
C5,-0.08028010000000001,-0.0137597,0.02916
C3,-0.06535809999999999,-0.0116317,0.064358
C1,-0.036158,-0.0099839,0.089752
CZ,0.0004009,-0.009167,0.100244
C2,0.037672,-0.0096241,0.088412
C4,0.06711790000000001,-0.0109003,0.06358
C6,0.0834559,-0.0127763,0.029207999999999998
CP3,-0.0635562,-0.0470088,0.065624
CP1,-0.0355131,-0.0472919,0.091315
CPZ,0.0003858,-0.047318,0.099432
CP2,0.0383838,-0.0470731,0.090695
CP4,0.0666118,-0.0466372,0.06558
P1,-0.0286203,-0.0805249,0.075436
PZ,0.0003247,-0.08111499999999999,0.082615
P2,0.0319197,-0.08048709999999999,0.07671599999999999
POZ,0.0002156,-0.10217799999999999,0.050608
