channel,x,y,z
Fp1,-0.0294367,0.08391710000000001,-0.0069900000000000006
Fp2,0.029872299999999997,0.0848959,-0.00708
F7,-0.0702629,0.0424743,-0.01142
F3,-0.0502438,0.0531112,0.042192
Fz,0.0003122,0.058512,0.06646200000000001
F4,0.0518362,0.0543048,0.040814
F8,0.0730431,0.0444217,-0.012
FC5,-0.0772149,0.0186433,0.024460000000000003
FC1,-0.0340619,0.0260111,0.07998699999999999
FC2,0.034784100000000005,0.0264379,0.078808
FC6,0.0795341,0.0199357,0.024437999999999998
T7,-0.0841611,-0.0160187,-0.009346
C3,-0.06535809999999999,-0.0116317,0.064358
Cz,0.0004009,-0.009167,0.100244
C4,0.06711790000000001,-0.0109003,0.06358
T8,0.0850799,-0.0150203,-0.00949
EOG_HL,0.0,1.0,0.0
CP5,-0.0795922,-0.0465507,0.030949
CP1,-0.0355131,-0.0472919,0.091315
CP2,0.0383838,-0.0470731,0.090695
CP6,0.0833218,-0.046101300000000005,0.031206
EOG_HR,-0.695198045233462,0.33333333333333337,0.6368583569306933
P7,-0.0724343,-0.0734527,-0.002487
P3,-0.0530073,-0.0787878,0.05594
Pz,0.0003247,-0.08111499999999999,0.082615
P4,0.0556667,-0.0785602,0.056561
P8,0.0730557,-0.07306829999999999,-0.00254
EOG_VA,0.08242576373001424,-0.33333333333333326,-0.9391990642895748
O1,-0.0294134,-0.112449,0.008839
Oz,0.0001076,-0.114892,0.014657
O2,0.0298426,-0.112156,0.0088
EOG_VB,0.0,-1.0,0.0
AF7,-0.0548397,0.0685722,-0.01059
AF3,-0.0337007,0.0768371,0.021227
AF4,0.0357123,0.0777259,0.021956
AF8,0.055743299999999996,0.0696568,-0.010755
F5,-0.0644658,0.048035299999999996,0.016921
F1,-0.0274958,0.0569311,0.060342
F2,0.029514199999999997,0.0576019,0.059539999999999996
F6,0.0679142,0.049829700000000005,0.016367
AFz,0.0002313,0.080771,0.035417000000000004
FT7,-0.080775,0.0141203,-0.011134999999999999
FC3,-0.060181899999999997,0.0227162,0.055543999999999996
FC4,0.062293100000000004,0.0237228,0.055630000000000006
FT8,0.0818151,0.0154167,-0.01133
FCz,0.0003761,0.02739,0.08866800000000001
C5,-0.08028010000000001,-0.0137597,0.02916
C1,-0.036158,-0.0099839,0.089752
C2,0.037672,-0.0096241,0.088412
C6,0.0834559,-0.0127763,0.029207999999999998
TP7,-0.08483020000000001,-0.046021700000000006,-0.007056
CP3,-0.0635562,-0.0470088,0.065624
CPz,0.0003858,-0.047318,0.099432
CP4,0.0666118,-0.0466372,0.06558
TP8,0.0855488,-0.0455453,-0.00713
P5,-0.06727230000000001,-0.0762907,0.028382
P1,-0.0286203,-0.0805249,0.075436
P2,0.0319197,-0.08048709999999999,0.07671599999999999
P6,0.0678877,-0.07590430000000001,0.028091
PO7,-0.054840400000000004,-0.0975279,0.0027919999999999998
PO3,-0.0365114,-0.10085290000000001,0.037167
POz,0.0002156,-0.10217799999999999,0.050608
PO4,0.0367816,-0.10084910000000001,0.036397
PO8,0.055666600000000004,-0.0976251,0.00273
