channel,x,y,z
Fp1,-0.0294367,0.08391710000000001,-0.0069900000000000006
Fp2,0.029872299999999997,0.0848959,-0.00708
Fz,0.0003122,0.058512,0.06646200000000001
F3,-0.0502438,0.0531112,0.042192
F4,0.0518362,0.0543048,0.040814
F7,-0.0702629,0.0424743,-0.01142
F8,0.0730431,0.0444217,-0.012
FC1,-0.0340619,0.0260111,0.07998699999999999
FC2,0.034784100000000005,0.0264379,0.078808
FC5,-0.0772149,0.0186433,0.024460000000000003
FC6,0.0795341,0.0199357,0.024437999999999998
Cz,0.0004009,-0.009167,0.100244
C3,-0.06535809999999999,-0.0116317,0.064358
C4,0.06711790000000001,-0.0109003,0.06358
T7,-0.0841611,-0.0160187,-0.009346
T8,0.0850799,-0.0150203,-0.00949
CP1,-0.0355131,-0.0472919,0.091315
CP2,0.0383838,-0.0470731,0.090695
CP5,-0.0795922,-0.0465507,0.030949
CP6,0.0833218,-0.046101300000000005,0.031206
Pz,0.0003247,-0.08111499999999999,0.082615
P3,-0.0530073,-0.0787878,0.05594
P4,0.0556667,-0.0785602,0.056561
P7,-0.0724343,-0.0734527,-0.002487
P8,0.0730557,-0.07306829999999999,-0.00254
PO3,-0.0365114,-0.10085290000000001,0.037167
PO4,0.0367816,-0.10084910000000001,0.036397
Oz,0.0001076,-0.114892,0.014657
O1,-0.0294134,-0.112449,0.008839
O2,0.0298426,-0.112156,0.0088
