channel,x,y,z
FT7,-0.080775,0.0141203,-0.011134999999999999
FT8,0.0818151,0.0154167,-0.01133
T7,-0.0841611,-0.0160187,-0.009346
T8,0.0850799,-0.0150203,-0.00949
TP7,-0.08483020000000001,-0.046021700000000006,-0.007056
TP8,0.0855488,-0.0455453,-0.00713
CP1,-0.0355131,-0.0472919,0.091315
CP2,0.0383838,-0.0470731,0.090695
P1,-0.0286203,-0.0805249,0.075436
PZ,0.0003247,-0.08111499999999999,0.082615
P2,0.0319197,-0.08048709999999999,0.07671599999999999
PO3,-0.0365114,-0.10085290000000001,0.037167
POZ,0.0002156,-0.10217799999999999,0.050608
PO4,0.0367816,-0.10084910000000001,0.036397
O1,-0.0294134,-0.112449,0.008839
OZ,0.0001076,-0.114892,0.014657
O2,0.0298426,-0.112156,0.0088
